"","genres","years","numbers"
"1","Action","1894-01-01",2
"2","Action","1914-01-01",1024
"3","Action","1934-01-01",1901
"4","Action","1954-01-01",2396
"5","Action","1974-01-01",2325
"6","Action","1994-01-01",4133
"7","Action","2014-01-01",2801
"8","Adult","1954-01-01",326
"9","Adult","1974-01-01",2864
"10","Adult","1994-01-01",456
"11","Adult","2014-01-01",78
"12","Adventure","1894-01-01",11
"13","Adventure","1914-01-01",1094
"14","Adventure","1934-01-01",1988
"15","Adventure","1954-01-01",2122
"16","Adventure","1974-01-01",798
"17","Adventure","1994-01-01",1913
"18","Adventure","2014-01-01",1762
"19","Animation","1894-01-01",1
"20","Animation","1914-01-01",31
"21","Animation","1934-01-01",107
"22","Animation","1954-01-01",155
"23","Animation","1974-01-01",273
"24","Animation","1994-01-01",875
"25","Animation","2014-01-01",946
"26","Biography","1894-01-01",8
"27","Biography","1914-01-01",98
"28","Biography","1934-01-01",343
"29","Biography","1954-01-01",351
"30","Biography","1974-01-01",276
"31","Biography","1994-01-01",1787
"32","Biography","2014-01-01",2348
"33","Comedy","1894-01-01",26
"34","Comedy","1914-01-01",3880
"35","Comedy","1934-01-01",6202
"36","Comedy","1954-01-01",6200
"37","Comedy","1974-01-01",3614
"38","Comedy","1994-01-01",10181
"39","Comedy","2014-01-01",6704
"40","Crime","1894-01-01",26
"41","Crime","1914-01-01",1259
"42","Crime","1934-01-01",2406
"43","Crime","1954-01-01",2798
"44","Crime","1974-01-01",1276
"45","Crime","1994-01-01",3075
"46","Crime","2014-01-01",1878
"47","Documentary","1894-01-01",48
"48","Documentary","1914-01-01",996
"49","Documentary","1934-01-01",1106
"50","Documentary","1954-01-01",1612
"51","Documentary","1974-01-01",2176
"52","Documentary","1994-01-01",15662
"53","Documentary","2014-01-01",13347
"54","Drama","1894-01-01",266
"55","Drama","1914-01-01",10447
"56","Drama","1934-01-01",9545
"57","Drama","1954-01-01",10936
"58","Drama","1974-01-01",6778
"59","Drama","1994-01-01",19102
"60","Drama","2014-01-01",13563
"61","Family","1894-01-01",1
"62","Family","1914-01-01",58
"63","Family","1934-01-01",418
"64","Family","1954-01-01",837
"65","Family","1974-01-01",539
"66","Family","1994-01-01",1652
"67","Family","2014-01-01",1616
"68","Fantasy","1894-01-01",6
"69","Fantasy","1914-01-01",163
"70","Fantasy","1934-01-01",316
"71","Fantasy","1954-01-01",702
"72","Fantasy","1974-01-01",551
"73","Fantasy","1994-01-01",1208
"74","Fantasy","2014-01-01",1014
"75","Film-Noir","1914-01-01",13
"76","Film-Noir","1934-01-01",558
"77","Film-Noir","1954-01-01",190
"78","Game-Show","1994-01-01",1
"79","Game-Show","2014-01-01",1
"80","History","1894-01-01",14
"81","History","1914-01-01",250
"82","History","1934-01-01",495
"83","History","1954-01-01",592
"84","History","1974-01-01",281
"85","History","1994-01-01",1401
"86","History","2014-01-01",1547
"87","Horror","1894-01-01",1
"88","Horror","1914-01-01",172
"89","Horror","1934-01-01",239
"90","Horror","1954-01-01",865
"91","Horror","1974-01-01",819
"92","Horror","1994-01-01",3277
"93","Horror","2014-01-01",3021
"94","Music","1894-01-01",3
"95","Music","1914-01-01",81
"96","Music","1934-01-01",930
"97","Music","1954-01-01",369
"98","Music","1974-01-01",241
"99","Music","1994-01-01",1428
"100","Music","2014-01-01",1056
"101","Musical","1914-01-01",390
"102","Musical","1934-01-01",1505
"103","Musical","1954-01-01",1219
"104","Musical","1974-01-01",209
"105","Musical","1994-01-01",508
"106","Musical","2014-01-01",382
"107","Mystery","1894-01-01",5
"108","Mystery","1914-01-01",520
"109","Mystery","1934-01-01",973
"110","Mystery","1954-01-01",658
"111","Mystery","1974-01-01",326
"112","Mystery","1994-01-01",1491
"113","Mystery","2014-01-01",1310
"114","News","1894-01-01",1
"115","News","1914-01-01",3
"116","News","1934-01-01",3
"117","News","1954-01-01",3
"118","News","1994-01-01",204
"119","News","2014-01-01",365
"120","Reality-TV","1934-01-01",1
"121","Reality-TV","1994-01-01",20
"122","Reality-TV","2014-01-01",38
"123","Romance","1894-01-01",24
"124","Romance","1914-01-01",2541
"125","Romance","1934-01-01",3204
"126","Romance","1954-01-01",2554
"127","Romance","1974-01-01",1454
"128","Romance","1994-01-01",4374
"129","Romance","2014-01-01",2373
"130","Sci-Fi","1894-01-01",1
"131","Sci-Fi","1914-01-01",59
"132","Sci-Fi","1934-01-01",150
"133","Sci-Fi","1954-01-01",523
"134","Sci-Fi","1974-01-01",345
"135","Sci-Fi","1994-01-01",1125
"136","Sci-Fi","2014-01-01",974
"137","Short","1914-01-01",2
"138","Short","1994-01-01",2
"139","Sport","1894-01-01",8
"140","Sport","1914-01-01",136
"141","Sport","1934-01-01",210
"142","Sport","1954-01-01",158
"143","Sport","1974-01-01",121
"144","Sport","1994-01-01",694
"145","Sport","2014-01-01",563
"146","Talk-Show","1934-01-01",1
"147","Talk-Show","1974-01-01",2
"148","Talk-Show","1994-01-01",7
"149","Talk-Show","2014-01-01",10
"150","Thriller","1894-01-01",3
"151","Thriller","1914-01-01",167
"152","Thriller","1934-01-01",475
"153","Thriller","1954-01-01",1029
"154","Thriller","1974-01-01",968
"155","Thriller","1994-01-01",4167
"156","Thriller","2014-01-01",3430
"157","War","1894-01-01",12
"158","War","1914-01-01",376
"159","War","1934-01-01",940
"160","War","1954-01-01",1002
"161","War","1974-01-01",344
"162","War","1994-01-01",698
"163","War","2014-01-01",413
"164","Western","1894-01-01",7
"165","Western","1914-01-01",1640
"166","Western","1934-01-01",1646
"167","Western","1954-01-01",1081
